Country,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.992154860178644,0.9447959031505513,0.9445379763179425,0.9053352262562591,0.9991413739763993,1.0192478778808858,1.069871626374321,1.19013451112281,1.2095996782583378,1.3067150469609474,1.3144094862549132,1.3016969890620746,1.0757174978402853,1.189876914965385,1.1218532698105264,1.269758274437679,1.348396882263372,1.3715863943552573,1.299405127404717,1.3098065164020374,1.2765782503500236
Bahamas,,,,,,,,,,,3.205662731604105,3.6961973543106628,4.8798510692563015,4.967260276604421,5.524601437806093,6.338867764680987,9.588002242505077,7.848610476082598,8.914903400174337,10.28250153024114,4.016908207511798,4.434878455959639,2.4899679481458694,2.412432043513065,1.6750435640239516,3.079424177519433,3.0368786839713238,2.5844236776786906,2.903567553200778,2.6541182441040054,2.658320304477222,2.5525211974021222,2.431418324555114,2.46525828069414,2.314677795928294,2.4765409845576696,2.37765670615389,2.3869871886633582,2.8022625940016153,3.2846993270162237,2.2798883428228827,2.2969080935095083,2.124122595219711,2.0938474951536965,2.4351286002007013,2.547045980511887,2.328292243850346,1.941345673644005,2.33094588625993,2.3501637061823795,2.1244554845345127,2.8475459280527216,3.0603517276120873,2.461582355956682,2.5005103407841407,2.293928596362787
Bahrain,,,,,,,,,,,,,,,,,,,,5.020641271486343,4.559434362054649,5.116504272188929,4.489416879745144,4.552726729453838,4.4325359263764925,4.428402922339224,3.7739686836380537,3.9641343515695406,4.960079579300099,4.453671066307038,4.038197991146189,4.8808399629489125,4.712663446144767,5.040073898474644,4.778952383997088,4.987529056779654,5.32744722514053,5.4227128046542195,5.227567168684267,5.369209656464012,5.348353285007826,5.537654991164452,5.814909852499154,5.371743585252247,6.37442505384125,5.952246230704293,6.299902978586243,6.7744561627858735,6.2360213607164425,6.420837213451194,5.809769867312785,4.728454990371172,3.7302941631520654,5.378635461501316,5.307940437337849,5.297509010919861
Bangladesh,,,,,,,,,,,0.18371158868330012,0.19370699091915258,0.21553460527670548,0.20120297268731563,0.21507928758592745,0.21104926312215425,0.2082582195694965,0.21969102049962708,0.2152422327373284,0.22667162384411557,0.2139294441996597,0.22235511151331014,0.2199808255398815,0.2215020061682653,0.23342198762902783,0.22820049513180932,0.22940105386843299,0.23459898635797694,0.2388733047349632,0.2360637515266811,0.23431231686360762,0.23923732073126222,0.23653177548671359,0.23318380102342418,0.24929480309714705,0.25808816490014325,0.26566501316797214,0.27197781657472225,0.30102255377949444,0.3042832903006331,0.3105426327007732,0.3149768581431377,0.32117664265863044,0.3179712040236614,0.3374118632514633,0.35572900992648787,0.37669275698510357,0.3784198450236464,0.4050694026090361,0.43347856314604666,0.45355388293794346,0.44585735287068773,0.458802314648129,0.48393121771664666,0.533214920820202,0.5168253556059348
Barbados,0.529160872508536,0.5765767001998368,0.5648803031643673,0.5589166897239615,0.6514048089402071,0.7277371162423311,0.7846205755122014,0.8128411928205342,0.8918000568959326,0.936333266749357,0.9951926743827958,1.1117022903984364,1.0937104158973852,1.058531603340791,1.1917844379608322,1.2438336906350393,1.2602698851132978,1.2518609534373006,1.3460040875434933,1.4237087119822724,1.3183043720105088,1.3387712610224176,1.5239555762848733,1.5992539676941966,1.5803513445925004,1.843495133558257,1.6454526336022832,2.007001784003192,2.041023462227957,1.84158555822151,2.0963789785671056,1.5892611404766694,1.640299693292826,1.4904015885548971,1.582361598549336,1.6229323946788239,1.9631291776530657,1.8394620688503076,2.138517011741765,2.415055349760115,2.2265716528959825,2.0825075182367128,2.563476783917344,2.3020079195555643,2.9338000130951136,2.6783869618602067,2.5135519864474656,2.5505650245375806,2.5872835675527392,2.80232871778971,2.471301354637558,2.2367757753813624,2.078032364159122,2.179743597068389,2.343875906061194,2.334269999752785
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.766548008237973,2.517090302249197,2.1826595688452644,2.1832380384671053,2.491275151422845,2.618728343717523,2.0498596204496495,1.9617976500667937,2.085790356115143,2.002795288147947,2.0922252070312095,2.2059048854104795,2.3318896851693394,2.33928861229352,2.514863302205594,2.59221293557915,2.7545956217982237,2.576284558964897,2.66170386232428,2.509087896172254,2.86004826431149,2.7863487011423933,2.867079841058215,2.4801689498977493,2.446221901478381
Belgium,1.8136465408794322,1.9535223880651602,2.0462729930529986,2.184857635223845,2.1485029813583965,2.1781673829937156,2.2526298423269226,2.4368218438727736,2.550423579013033,2.7386769306334764,2.7654065583716414,2.948879180076311,3.047258094461831,3.0563970731869388,2.750272011240577,3.083107483411506,3.0576945468820225,3.18149407954518,3.3500352753646974,3.17367978611111,2.9131506903749185,2.977659568498781,2.7168060119813306,2.8606268870558083,2.993132884701858,3.0921105451265762,3.2363682572178756,3.3819950528838323,3.3242513383405665,3.391811770537136,3.5159865881698513,3.482231377140349,3.3860273745866487,3.4964482501054333,3.7058345871702034,3.8455310111704346,3.882397690805171,4.091070678637602,3.9707127635467954,4.136190682360245,4.2110187199303875,4.181066255292269,4.333742564874105,4.222375523690056,4.4339601630735554,4.47900739177666,4.489194569930142,4.368177295397496,4.153789373343386,4.2378020426699745,4.107511182435934,4.338788403844363,4.256984548341247,4.15191520781417,3.8847280410412597,3.8358533215915314
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2844133721609667
Benin,0.4237105749909342,0.4285510931588654,0.43012387759836906,0.4314853216617647,0.4363703280796231,0.43155428562335296,0.44755048777638123,0.45176932007743337,0.4523195814045866,0.4638286241580864,0.4690324437319337,0.4827403339503919,0.4816752650107051,0.46615462377465383,0.46562453219400324,0.46766175303574126,0.47635972358383943,0.49231838802659283,0.4915247052536098,0.45868225262950907,0.461575464649933,0.47647799285191145,0.47651563321996404,0.5043906344815591,0.5062462236137915,0.5138162296895704,0.4830399138902519,0.5289444453757262,0.5053867314934639,0.527316844961868,0.5450945516452249,0.5527098073935367,0.5720260896854487,0.5332458206021554,0.5750930244417708,0.59338863194445,0.620236377433337,0.6080858641633818,0.6096269236399177,0.5998336685807398,0.5978048723700626,0.6604899798879907,0.6434978125425551,0.6406650355575803,0.628204140155996,0.6682023073947109,0.6990254408313439,0.7453097638755519,0.7661060448818565,0.7353732295281112,0.8034872650446799,0.7854888622146204,0.8445584283584373,0.8419720248863968,0.8035697234536345,0.8708110028424509
Bermuda,1.3157356238400093,1.2741034693079365,1.4130071357501455,1.4616148157889108,1.6465941025962423,1.7201567712685504,1.7365582209549646,1.9032541788377808,1.9282629476652,2.0378160691890947,1.8236669378849852,2.4168056791803934,2.6506694065362773,2.6468891297895296,2.6295491410315264,2.718444169260238,2.7186152570953586,2.7800846088616757,3.054713643680209,2.690262749945846,2.6049610733528343,2.5254466637528465,2.846798203535661,3.044299696278168,3.4676370188844214,3.4214132358920417,3.790144288154853,3.93888046967336,4.37152566809601,3.312602120205612,3.3786549093525813,3.690724990602891,3.9739342838176444,3.982801935608589,3.8731246797522627,3.8516875355763105,3.8680194930484135,3.8908019768891484,3.8354255124446954,3.748745324070306,3.8484303651163896,3.871082045046903,3.817526343579449,3.7706616614967348,3.957306656924004,4.375593611963354,4.605669497515397,4.265750777996062,3.669520625395082,4.076033125628567,3.8978177934635054,4.237318466589238,3.9527055715765465,4.457146602941799,4.822006762869189,4.6084729513178235
